"No";"Nombre";"Tipo";"Región";"Tipología";"Titular";"Inversión(MMU$)";"FechaPresentaciónFecha deIngreso(*)";"Estado";"url";"id";"url_mapa";"Longitud";"Latitud";"Calificado";"n_documentos";"n_adendas";"n_participacion";"Tipo_proyecto";"Descripcion";"Ano_Ingreso"
25;"NUEVA CENTRAL SOLAR FOTOVOLTAICA LO CONTY";"DIA";"Sexta";"c";"MAUI SOLAR SpA";"11,2440";"19/02/2021";"No Admitido a Tramitación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150838290";"2150838290";"https://seia.sea.gob.cl/mapa/info.php?id=2150838290&name=0";-70,924641;-34,242866;"No Admitido a Tramitación";4;0;0;"Centrales generadoras de energía mayores a 3 MW";"La Nueva Central Solar Fotovoltaica Lo Conty, consiste en la instalación y operación de una Central Solar Fotovoltaica  que evacuará 9 MWn de potencia al Sistema Eléctrico Nacional. Contempla la instalación de 18.564 paneles solares de 545 Wp cada uno, alcanzando 10,117 MWp de potencia de campo de generación que serán conectados a tres inversores de 3,0 MWn  de potencia nominal cada uno, logrando conectar 9 MW. Adicionalmente, el proyecto contempla la instalación de un sistema de almacenamiento energía mediante baterías de ion-litio, el que tendrá una capacidad de inyección total al SEN de 3 MWn. ObjetivoLa realización del Proyecto tiene por objetivo la generación de energía eléctrica a partir de la captación y transformación de energía solar por medio de 18.564 paneles solares de 545 Wp cada uno, de esta forma la Nueva CSF Lo Conty alcanzará 10,117 MWp de potencia de campo de generación que serán conectados a tres inversores, cuyas potencias nominales ascienden 3,0 MWn cada uno, logrando conectar 9 MW. Así también, contempla un sistema de almacenamiento de energía a través de baterías de ion-litio, con el propósito de inyectar dicha energía al Sistema Eléctrico Nacional en escenarios de mayor demanda cuando no se dispone de luz solar, para prestar servicios complementarios y como sistema de respaldo de energía.";"2021"
26;"Proyecto Fotovoltaico Quinta Tilcoco";"DIA";"Sexta";"c";"Alejandro Claudio Silva Zamora";"12,0243";"19/02/2021";"No Admitido a Tramitación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150827432";"2150827432";"https://seia.sea.gob.cl/mapa/info.php?id=2150827432&name=0";-70,92088;-34,368496;"No Admitido a Tramitación";4;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Parque Fotovoltaico Quinta Tilcoco corresponde a un proyecto de Pequeños Medios de Generación Distribuida (PMGD) por medio de Energía Renovable No Convencional (ERNC) que producirá energía limpia a través de la construcción y operación de una Central Solar Fotovoltaica (CSF) de 12,024 MW instalado, la cual consta de 4 Transformadores de Poder de 2,5 MVA cada uno, los que serán inyectados al Sistema Interconectado Central (SIC), actual Sistema Eléctrico Nacional (SEN), a través de una línea eléctrica de media tensión existente y construida, de propiedad de CGE. Objetivo
El Parque Fotovoltaico Quinta Tilcoco tiene por objetivo proporcionar energía eléctrica limpia a través de Energías Renovables No Convencionales (ERNC) al Sistema Interconectado Central (SIC), a través de una planta fotovoltaica de 12,024 MW de potencia instalada.";"2021"
27;"Parque Fotovoltaico Francia Solar";"DIA";"Cuarta";"c";"CVE PROYECTO TREINTA Y OCHO SPA";"11,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150811619";"2150811619";"https://seia.sea.gob.cl/mapa/info.php?id=2150811619&name=0";-71;-31;"En Calificación";16;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto se emplaza en sector Rural de la comuna de Ovalle, Región de Copiapó y corresponde a un proyecto de pequeños medios de generación distribuida (PMGD) a través de energías renovables no convencionales (ERNC), que generará energía limpia a través de la construcción de un Parque Fotovoltaico de 9 MW AC y una línea aérea de media tensión (15 kV), que enviará la energía hasta el punto de interconexión ubicado aproximadamente a 1.600 metros aproximadamente, donde se entregará la energía al Sistema Eléctrico Nacional (SEN).Objetivo 
El Proyecto tiene por objetivo proporcionar energía eléctrica a través de energías renovables no convencionales (ERNC), por medio de central fotovoltaica de 9 MW AC. La energía será inyectada al SEN.";"2021"
28;"Parque Fotovoltaico Liebre del Verano";"DIA";"RM";"c";"Guallatiri SpA";"10,2125";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150816682";"2150816682";"https://seia.sea.gob.cl/mapa/info.php?id=2150816682&name=0";-70,9023328;-33,73171106;"En Calificación";16;0;0;"Centrales generadoras de energía mayores a 3 MW";"El proyecto “Parque fotovoltaico Liebre del Verano”, que se somete al Sistema de Evaluación de Impacto Ambiental, mediante la presente Declaración de Impacto Ambiental, se ubica en la Región Metropolitana de Santiago, Provincia de Talagante, Comuna de Isla de Maipo, específicamente en el inmueble denominado “Fundo Miraflores”. El proyecto, considera ocupar, entre obras permanentes y temporales, una superficie total de 26,46 hectáreas. ObjetivoEl Proyecto tiene por objetivo proporcionar energía eléctrica limpia a través de Energías Renovables No Convencionales (ERNC) al Sistema Eléctrico Nacional (SEN), por medio de un parque fotovoltaico de 9 MWac de potencia nominal.";"2021"
29;"Lirio Solar";"DIA";"RM";"c";"CVE Proyecto Veinticinco SpA";"9,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150831983";"2150831983";"https://seia.sea.gob.cl/mapa/info.php?id=2150831983&name=0";-71,537841;-33,808373;"En Calificación";15;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Parque Fotovoltaico Lirio Solar, corresponde a un proyecto nuevo y consiste en la construcción y operación de un Parque Fotovoltaico (en adelante PF) emplazado en la comuna de San Pedro, provincia de Melipilla, el cual evacuará 9 Megawatt nominal (MWn) al Sistema Eléctrico Nacional (SEN). Esta potencia se logra con la instalación de 21.112 paneles solares de 530 watt instalados (Wp) cada uno. De esta forma el Parque Fotovoltaico Lirio Solar alcanzará 11,189 Megawatt instalado (MWp) de potencia de campo de generación que serán conectados a 3 inversores de 3 MWn cada uno.

El proyecto tendrá una vida útil de 40 años. La vida útil del proyecto se podrá extender en la medida que las condiciones de mercado justifiquen la inversión. Objetivo
La realización del proyecto tiene por objetivo la generación de energía eléctrica mediante la captación y transformación de la energía solar, para inyectar una potencia de 9 Megawatt (MW) al Sistema Eléctrico Nacional (en adelante SEN).";"2021"
30;"Ampliación Parque Fotovoltaico Nazarino del Verano";"DIA";"RM";"c";"Socompa de Verano SpA";"6,2125";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150816645";"2150816645";"https://seia.sea.gob.cl/mapa/info.php?id=2150816645&name=0";-71,062535;-33,713703;"En Calificación";16;0;0;"Centrales generadoras de energía mayores a 3 MW";"El proyecto Ampliación Parque Fotovoltaico Nazarino del Verano corresponde a la ampliación de un proyecto  declarado en construcción denominado ""Nazarino del Verano"", el cual cuenta con Resolución Exenta N°0116 con fecha 21 de febrero 2019 por el Servicio de Evaluación Ambiental de la Región Metropolitana de Santiago, que se traduce en el incremento de su potencia nominal instalada. ObjetivoEl proyecto tiene por objetivo producir energía eléctrica limpia a través de Energías Renovables No Convencionales (ERNC), la cual es inyectada al Sistema Eléctrico Nacional (SEN). La potencia nominal total será de 9MWac.";"2021"
31;"Planta de valorización afluentes lácteos mediante procesos biológicos";"DIA";"Decimocuarta";"o7";"Cooperativa Agrícola y Lechera de La Unión Ltda.";"22,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150866013";"2150866013";"https://seia.sea.gob.cl/mapa/info.php?id=2150866013&name=0";-73,068836;-40,290259;"En Calificación";14;0;0;"Sistemas de tratamiento y/o disposición de residuos industriales líquidos";"El presente proyecto que se somete a Evaluación Ambiental corresponde construcción y operación de una planta de valorización de afluentes lácteos mediante procesos biológicos que permitirá reemplazar los actuales sistemas de tratamiento de Residuos Industriales Líquidos (RILes) que poseen las plantas industriales La Unión y Columela de la Cooperativa Agrícola y Lechera de La Unión. Cabe destacar que el proyecto se enmarca en una renovación tecnológica de sus actuales sistemas de tratamiento, con la finalidad de poder tratar los RILes de forma sustentable, que permitan generar valor y reducir la huella de carbono de la cooperativa.ObjetivoEl proyecto tiene como objetivo principal, tratar y valorizar los Residuos Industriales Líquidos (RILes) generados en las plantas industriales La Unión y Columela pertenecientes a la Cooperativa Agrícola y Lechera de La Unión Limitada (COLUN), haciendo una mejora tecnológica a los tratamientos que actualmente posee.";"2021"
32;"Proyecto Inmobiliario Praderas de Kennedy";"DIA";"Sexta";"h1";"Galilea de Ingeniería y Construcción";"10,1141";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150798399";"2150798399";"https://seia.sea.gob.cl/mapa/info.php?id=2150798399&name=0";-70,748688;-34,132462;"En Calificación";17;0;0;"Proyectos inmobiliarios";"El proyecto modifica un proyecto existente sin RCA y realizará: La incorporación de 292 unidades habitacionales del tipo casa las cuales se emplazarán en una superficie de 8,2 hectáreas dentro de la comuna de Rancagua perteneciente a la Región del Libertador General Bernardo O´Higgins. También el proyecto contempla la construcción de las urbanizaciones y áreas verdes correspondientes. El proyecto comenzará a ejecutarse durante el segundo semestre del año 2021 y se estima que su desarrollo dure aproximadamente 3 años.
 ObjetivoEl objetivo general es otorgar una oferta habitacional dentro de la comuna de Rancagua, perteneciente a la Región del Libertador General Bernardo O´Higgins, a través de la construcción de 292 unidades habitacionales en 8,2ha aproximadamente con su respectiva autorización y áreas verdes.";"2021"
33;"Subestación seccionadora Montenegro 220-154/66/13,2 kV";"DIA";"Décimosexta";"b1";"Sistema de Transmisión del Sur S.A.";"10,8860";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150834514";"2150834514";"https://seia.sea.gob.cl/mapa/info.php?id=2150834514&name=0";-72,093899;-36,756199;"En Calificación";18;0;0;"Líneas de transmisión eléctrica de alto voltaje";"Objetivo";"2021"
34;"Planta Fotovoltaica Portezuelo PMG";"DIA";"Sexta";"c";"ASESORÍAS E INVERSIONES EENGINE LIMITADA";"15,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150861257";"2150861257";"https://seia.sea.gob.cl/mapa/info.php?id=2150861257&name=0";-71,611659;-34,343647;"En Calificación";16;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto consiste en la construcción y operación de un pequeño medio de generación (PMG) a través de energía renovable no convencional (ERNC), dicho proyecto se emplazará en la Comuna de Marchihue, Región del Libertador Bernardo O’higgins, en terrenos acordados para arriendo. El Proyecto pretende generar energía eléctrica a través de la construcción de una central fotovoltaica de 9 MW de potencia nominal y tendrá una vida útil de 25 años.
 El proyecto transmitirá la energía producida, hasta 9 MW, por medio de una línea eléctrica de 23 kV, hacia una subestación elevadora privada. Objetivo El proyecto tiene por objetivo proporcionar energía eléctrica a través de energías renovables no convencionales (ERNC), para esto utiliza la energía solar fotovoltaica por medio de una central de 9 MW nominales. La energía generada en el Proyecto será inyectada al Sistema Eléctrico Nacional (SEN).";"2021"
35;"Planta Fotovoltaica La Palma";"DIA";"Décimosexta";"c";"MVC SOLAR 5 SPA";"11,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150858671";"2150858671";"https://seia.sea.gob.cl/mapa/info.php?id=2150858671&name=0";-71,94936;-37,140144;"En Calificación";21;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Parque Fotovoltaico La Palma corresponde a un proyecto nuevo, consiste en la construcción y operación de un parque solar fotovoltaico, con conexión a red de 9 MWca de potencia en el punto de interconexión. La potencia nominal es de 10.532.160 Wp, con un total de 22.896 módulos fotovoltaicos monocristalinos bifaciales de 460 Wp o similares. La planta esta basada en un diseño de bloque modular de 4,6 MWca, existiendo en total 2 bloques. Cada uno de los bloques consiste en un inversor central de al menos 4.600 KWca. La red de media tensión se conectará a través de líneas subterraneas de 13,2 kV hasta el punto de conexión.ObjetivoEl proyecto tiene por objeto satisfacer la creciente demanda energética, aprovechando el potencial solar de la Región del Biobío. El proyecto contempla la construcción, operación y cierre de un Parque Fotovoltaico, de potencia nominal igual a 9 MW, con la finalidad de generar energía eléctrica. Esta potencia se alcanzará mediante la instalación de 22.896 módulos fotovoltaicos policristalinos de 460 Wp o similares. Estos irán conectados a 2 inversores de 4.600 kWca, resultando en una potencia neta a inyectar al sistema de 9 MW.";"2021"
36;"Parque Solar Don Juve";"DIA";"Séptima";"c";"SOLAR TI VEINTIOCHO SPA";"12,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150834162";"2150834162";"https://seia.sea.gob.cl/mapa/info.php?id=2150834162&name=0";-71,23791;-35,0221006;"En Calificación";17;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto consiste en la instalación y operación de una planta solar fotovoltaica que tendrá una potencia de salida nominal basado en la capacidad de los inversores para obtener 9 MW en el punto de interconexión. La potencia instalada de la planta fotovoltaica es de 12,19 MWp, y estará compuesta por 22.572 paneles fotovoltaicos de 540 Wp o similares en corriente continua, en condiciones de prueba estándar. El terreno donde se emplazará el proyecto tiene una superficie total de 17,8 ha.
Objetivo El Proyecto, tiene por objetivo captar y transformar la energía solar en energía eléctrica para inyectar 9 MW a la red de distribución local, perteneciente al Sistema Eléctrico Nacional (SEN), además de obtener la Resolución de Calificación Ambiental (RCA) favorable, por medio de la evaluación ambiental y sectorial del presente documento.";"2021"
37;"Parque Fotovoltaico Caliche";"DIA";"Segunda";"c";"SOLAR TI VEINTIOCHO SPA";"12,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150865029";"2150865029";"https://seia.sea.gob.cl/mapa/info.php?id=2150865029&name=0";-69,44136334;-22,30548542;"En Calificación";14;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto consiste en la instalación y operación de una planta solar fotovoltaica que tendrá una potencia de salida nominal basado en la capacidad de los inversores para obtener 9 MW en el punto de interconexión. La potencia instalada de la planta fotovoltaica es de 12,37 MWp, y estará compuesta por 18.873 paneles fotovoltaicos de 655 Wp o similares en corriente continua, en condiciones de prueba estándar. El terreno donde se emplazará el proyecto tiene una superficie total de 26,8 ha.
Objetivo El Proyecto, tiene por objetivo captar y transformar la energía solar en energía eléctrica para inyectar 9 MW a la red de distribución local, perteneciente al Sistema Eléctrico Nacional (SEN), además de obtener la Resolución de Calificación Ambiental (RCA) favorable, por medio de la evaluación ambiental y sectorial del presente documento.";"2021"
